loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_roc_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.3977821350097657,13.742621421813965,9.500000000000001e-07,0.02,100,,,,,,,,,,,,,,
1.3832630920410156,12.076327323913574,1.9500000000000004e-06,0.04,200,,,,,,,,,,,,,,
1.3583389282226563,15.965134620666504,2.95e-06,0.06,300,,,,,,,,,,,,,,
1.2824595642089844,13.808307647705078,3.95e-06,0.08,400,,,,,,,,,,,,,,
1.1951649475097657,29.215612411499023,4.94e-06,0.1,500,,,,,,,,,,,,,,
1.155721206665039,17.89344024658203,5.93e-06,0.12,600,,,,,,,,,,,,,,
1.0857556915283204,18.540868759155273,6.93e-06,0.14,700,,,,,,,,,,,,,,
1.0502424621582032,21.951087951660156,7.93e-06,0.16,800,,,,,,,,,,,,,,
0.9500337219238282,14.963042259216309,8.930000000000001e-06,0.18,900,,,,,,,,,,,,,,
0.8842323303222657,21.145965576171875,9.930000000000001e-06,0.2,1000,,,,,,,,,,,,,,
0.8503166961669922,23.935543060302734,1.093e-05,0.22,1100,,,,,,,,,,,,,,
0.8472770690917969,10.115836143493652,1.1930000000000001e-05,0.24,1200,,,,,,,,,,,,,,
0.7536746215820312,10.401211738586426,1.293e-05,0.26,1300,,,,,,,,,,,,,,
0.7742636108398437,7.716085910797119,1.393e-05,0.28,1400,,,,,,,,,,,,,,
0.7692522430419921,7.733731746673584,1.4930000000000003e-05,0.3,1500,,,,,,,,,,,,,,
0.7572649383544922,15.3999662399292,1.593e-05,0.32,1600,,,,,,,,,,,,,,
0.7548486328125,7.243441104888916,1.6930000000000002e-05,0.34,1700,,,,,,,,,,,,,,
0.7361132049560547,21.758712768554688,1.793e-05,0.36,1800,,,,,,,,,,,,,,
0.7626424407958985,14.733527183532715,1.893e-05,0.38,1900,,,,,,,,,,,,,,
0.6756596374511719,7.6793084144592285,1.9930000000000004e-05,0.4,2000,,,,,,,,,,,,,,
0.7117082977294922,13.729449272155762,1.989666666666667e-05,0.42,2100,,,,,,,,,,,,,,
0.7381509399414062,12.012340545654297,1.9785555555555557e-05,0.44,2200,,,,,,,,,,,,,,
0.6868193817138671,13.503150939941406,1.9674444444444448e-05,0.46,2300,,,,,,,,,,,,,,
0.692297592163086,23.92241096496582,1.9563333333333333e-05,0.48,2400,,,,,,,,,,,,,,
0.7340589904785156,16.359403610229492,1.9452222222222224e-05,0.5,2500,,,,,,,,,,,,,,
0.7387873077392578,4.806179523468018,1.9341111111111112e-05,0.52,2600,,,,,,,,,,,,,,
0.6930734252929688,28.18842315673828,1.923e-05,0.54,2700,,,,,,,,,,,,,,
0.7435146331787109,3.9182281494140625,1.9118888888888892e-05,0.56,2800,,,,,,,,,,,,,,
0.6168328094482421,27.740020751953125,1.9007777777777777e-05,0.58,2900,,,,,,,,,,,,,,
0.6781511688232422,20.747135162353516,1.8896666666666668e-05,0.6,3000,,,,,,,,,,,,,,
0.6464079284667968,3.730064630508423,1.8785555555555556e-05,0.62,3100,,,,,,,,,,,,,,
0.6774368286132812,16.72705841064453,1.8674444444444448e-05,0.64,3200,,,,,,,,,,,,,,
0.6431895446777344,8.201676368713379,1.8563333333333336e-05,0.66,3300,,,,,,,,,,,,,,
0.6265011596679687,12.161347389221191,1.8452222222222224e-05,0.68,3400,,,,,,,,,,,,,,
0.6404424285888672,5.017848968505859,1.8341111111111112e-05,0.7,3500,,,,,,,,,,,,,,
0.6140856170654296,7.250593185424805,1.823e-05,0.72,3600,,,,,,,,,,,,,,
0.5508992004394532,31.8736515045166,1.811888888888889e-05,0.74,3700,,,,,,,,,,,,,,
0.5753183364868164,4.175187587738037,1.800777777777778e-05,0.76,3800,,,,,,,,,,,,,,
0.615641975402832,6.174676418304443,1.7896666666666668e-05,0.78,3900,,,,,,,,,,,,,,
0.6378219604492188,11.007596969604492,1.7785555555555556e-05,0.8,4000,,,,,,,,,,,,,,
0.6159722900390625,6.311829090118408,1.7674444444444444e-05,0.82,4100,,,,,,,,,,,,,,
0.6369918823242188,8.933669090270996,1.7563333333333335e-05,0.84,4200,,,,,,,,,,,,,,
0.6034387588500977,5.536860942840576,1.7452222222222223e-05,0.86,4300,,,,,,,,,,,,,,
0.6112680053710937,5.648065090179443,1.7341111111111115e-05,0.88,4400,,,,,,,,,,,,,,
0.6042685317993164,2.5426950454711914,1.7230000000000003e-05,0.9,4500,,,,,,,,,,,,,,
0.633573341369629,15.712873458862305,1.711888888888889e-05,0.92,4600,,,,,,,,,,,,,,
0.5743585205078126,12.73184871673584,1.700777777777778e-05,0.94,4700,,,,,,,,,,,,,,
0.6513862609863281,34.47110366821289,1.6896666666666667e-05,0.96,4800,,,,,,,,,,,,,,
0.6225540161132812,7.02679443359375,1.678555555555556e-05,0.98,4900,,,,,,,,,,,,,,
0.6074905776977539,15.303389549255371,1.6674444444444446e-05,1.0,5000,,,,,,,,,,,,,,
,,,1.0,5000,0.33871936798095703,0.87455,0.9209846015510846,0.8194,0.8672276022649098,0.9567826500000002,113.9714,175.483,5.484,,,,,
0.5850848770141601,1.8095842599868774,1.6563333333333335e-05,1.02,5100,,,,,,,,,,,,,,
0.5051356124877929,8.697826385498047,1.6452222222222223e-05,1.04,5200,,,,,,,,,,,,,,
0.6129979705810547,9.642189025878906,1.634111111111111e-05,1.06,5300,,,,,,,,,,,,,,
0.5558183670043946,12.815075874328613,1.6230000000000002e-05,1.08,5400,,,,,,,,,,,,,,
0.5597721481323242,4.0870795249938965,1.611888888888889e-05,1.1,5500,,,,,,,,,,,,,,
0.573851089477539,2.270219087600708,1.6007777777777778e-05,1.12,5600,,,,,,,,,,,,,,
0.5997316360473632,19.663545608520508,1.5896666666666666e-05,1.1400000000000001,5700,,,,,,,,,,,,,,
0.5691672134399414,6.143037796020508,1.5785555555555558e-05,1.16,5800,,,,,,,,,,,,,,
0.5052924346923828,2.5759379863739014,1.5674444444444446e-05,1.18,5900,,,,,,,,,,,,,,
0.5421283340454102,6.127317428588867,1.5563333333333334e-05,1.2,6000,,,,,,,,,,,,,,
0.5508943939208985,12.591064453125,1.5452222222222225e-05,1.22,6100,,,,,,,,,,,,,,
0.5393300247192383,1.54579758644104,1.5341111111111113e-05,1.24,6200,,,,,,,,,,,,,,
0.5586363983154297,9.984624862670898,1.523e-05,1.26,6300,,,,,,,,,,,,,,
0.5815137481689453,5.0019636154174805,1.511888888888889e-05,1.28,6400,,,,,,,,,,,,,,
0.548940544128418,7.844779014587402,1.500777777777778e-05,1.3,6500,,,,,,,,,,,,,,
0.5065692138671875,13.000860214233398,1.4896666666666667e-05,1.32,6600,,,,,,,,,,,,,,
0.5475889205932617,3.2726969718933105,1.4785555555555557e-05,1.34,6700,,,,,,,,,,,,,,
0.5520244216918946,12.287765502929688,1.4674444444444447e-05,1.3599999999999999,6800,,,,,,,,,,,,,,
0.49824871063232423,6.6111674308776855,1.4563333333333333e-05,1.38,6900,,,,,,,,,,,,,,
0.5867958831787109,3.475266456604004,1.4452222222222223e-05,1.4,7000,,,,,,,,,,,,,,
0.5475956344604492,11.278305053710938,1.4341111111111113e-05,1.42,7100,,,,,,,,,,,,,,
0.5756267929077148,8.17678451538086,1.4230000000000001e-05,1.44,7200,,,,,,,,,,,,,,
0.6085301208496093,7.004635334014893,1.411888888888889e-05,1.46,7300,,,,,,,,,,,,,,
0.5046990585327148,13.199381828308105,1.4007777777777777e-05,1.48,7400,,,,,,,,,,,,,,
0.50536376953125,36.92972946166992,1.3896666666666667e-05,1.5,7500,,,,,,,,,,,,,,
0.5258387756347657,4.637087345123291,1.3785555555555557e-05,1.52,7600,,,,,,,,,,,,,,
0.5501618576049805,16.818382263183594,1.3674444444444446e-05,1.54,7700,,,,,,,,,,,,,,
0.5013509750366211,4.0726752281188965,1.3563333333333334e-05,1.56,7800,,,,,,,,,,,,,,
0.5239204788208007,18.068462371826172,1.3452222222222224e-05,1.58,7900,,,,,,,,,,,,,,
0.5412396240234375,7.252053260803223,1.334111111111111e-05,1.6,8000,,,,,,,,,,,,,,
0.5612041091918946,21.006729125976562,1.323e-05,1.62,8100,,,,,,,,,,,,,,
0.5883351135253906,5.017696380615234,1.311888888888889e-05,1.6400000000000001,8200,,,,,,,,,,,,,,
0.6086212539672852,19.13822364807129,1.300777777777778e-05,1.6600000000000001,8300,,,,,,,,,,,,,,
0.549643783569336,6.804853916168213,1.2896666666666668e-05,1.6800000000000002,8400,,,,,,,,,,,,,,
0.5338973999023438,31.112886428833008,1.2785555555555556e-05,1.7,8500,,,,,,,,,,,,,,
0.5411698913574219,12.168638229370117,1.2674444444444444e-05,1.72,8600,,,,,,,,,,,,,,
0.5536995315551758,20.534976959228516,1.2563333333333334e-05,1.74,8700,,,,,,,,,,,,,,
0.5059720993041992,15.009231567382812,1.2452222222222224e-05,1.76,8800,,,,,,,,,,,,,,
0.5208651733398437,12.678232192993164,1.2341111111111113e-05,1.78,8900,,,,,,,,,,,,,,
0.5229414749145508,6.807282447814941,1.2230000000000001e-05,1.8,9000,,,,,,,,,,,,,,
0.5092705535888672,4.878525257110596,1.2120000000000001e-05,1.8199999999999998,9100,,,,,,,,,,,,,,
0.5017427825927734,20.506092071533203,1.200888888888889e-05,1.8399999999999999,9200,,,,,,,,,,,,,,
0.5181271362304688,5.285617828369141,1.1897777777777779e-05,1.8599999999999999,9300,,,,,,,,,,,,,,
0.4972739410400391,7.237434387207031,1.1786666666666668e-05,1.88,9400,,,,,,,,,,,,,,
